1.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 6.981317007977317912e-01
2.300000000000000000e+01 1.396263401595463582e+00
3.400000000000000000e+01 2.094395102393195263e+00
4.500000000000000000e+01 2.792526803190927165e+00
5.600000000000000000e+01 3.490658503988659067e+00
6.700000000000000000e+01 4.188790204786390525e+00
7.800000000000000000e+01 4.886921905584122428e+00
8.900000000000000000e+01 5.585053606381854330e+00
1.000000000000000000e+02 6.283185307179586232e+00
